1981 г.	Постановления Совета министров СССР за 1981 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2087.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1981 г.	Постановления Совета министров СССР за 1981 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2088.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1981 г.	Постановления Совета министров СССР за 1981 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2089.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1981 г.	Постановления Совета министров СССР за 1981 г. (за исключением Постановления Совета министров СССР № 997-297сс)	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2090.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1981 г.	Постановления Совета министров СССР за 1981 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2091.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1981 г.	Постановления Совета министров СССР за 1981 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2092.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1981 г.	Постановления Совета министров СССР за 1981 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2093.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1981 г.	Постановления Совета министров СССР за 1981 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2094.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1981 г.	Постановления Совета министров СССР за 1981 г. (за исключением Постановления Совета министров СССР № 1166-356)	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2095.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г. (за исключением Постановления Совета министров СССР № 74-19)	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2097.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2098.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2099.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г. (за исключением Постановления Совета министров СССР № 606-163сс)	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2100.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2101.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
